09:32:39:507021, onepos_HLK_7, 40:d6:3c:00:06:1e, -78
09:32:39:532608, onepos_HLK_3, 40:d6:3c:00:06:1d, -65
09:32:39:557962, onepos_HLK_2, 40:d6:3c:00:04:e1, -72
09:32:39:777417, onepos_HLK_7, 40:d6:3c:00:06:1e, -78
09:32:39:819723, onepos_HLK_1, 40:d6:3c:00:04:a0, -81
09:32:39:950294, onepos_HLK_8, 40:d6:3c:00:05:49, -80
09:32:40:282421, onepos_HLK_2, 40:d6:3c:00:04:e1, -80
09:32:40:361682, onepos_HLK_3, 40:d6:3c:00:06:1d, -61
09:32:40:707345, onepos_HLK_1, 40:d6:3c:00:04:a0, -70
09:32:40:759971, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:40:875767, onepos_HLK_1, 40:d6:3c:00:04:a0, -69
09:32:41:077278, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:41:341302, onepos_HLK_2, 40:d6:3c:00:04:e1, -75
09:32:41:370621, onepos_HLK_7, 40:d6:3c:00:06:1e, -81
09:32:41:446407, onepos_HLK_1, 40:d6:3c:00:04:a0, -75
09:32:41:476403, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:32:41:634865, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:41:896910, onepos_HLK_3, 40:d6:3c:00:06:1d, -65
09:32:42:040682, onepos_HLK_2, 40:d6:3c:00:04:e1, -82
09:32:42:141744, onepos_HLK_7, 40:d6:3c:00:06:1e, -81
09:32:42:168258, onepos_HLK_1, 40:d6:3c:00:04:a0, -78
09:32:42:565437, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:42:596058, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:32:42:620193, onepos_HLK_8, 40:d6:3c:00:05:49, -80
09:32:42:962858, onepos_HLK_2, 40:d6:3c:00:04:e1, -74
09:32:43:008782, onepos_HLK_7, 40:d6:3c:00:06:1e, -77
09:32:43:096469, onepos_HLK_1, 40:d6:3c:00:04:a0, -69
09:32:43:443849, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:32:43:787321, onepos_HLK_2, 40:d6:3c:00:04:e1, -81
09:32:43:862501, onepos_HLK_1, 40:d6:3c:00:04:a0, -74
09:32:43:983064, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:32:43:990473, onepos_HLK_7, 40:d6:3c:00:06:1e, -77
09:32:44:180099, onepos_HLK_8, 40:d6:3c:00:05:49, -76
09:32:44:183030, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:32:44:291810, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:44:478976, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:44:583436, onepos_HLK_2, 40:d6:3c:00:04:e1, -75
09:32:44:943689, onepos_HLK_1, 40:d6:3c:00:04:a0, -70
09:32:45:090977, onepos_HLK_7, 40:d6:3c:00:06:1e, -82
09:32:45:104772, onepos_HLK_3, 40:d6:3c:00:06:1d, -65
09:32:45:214513, onepos_HLK_1, 40:d6:3c:00:04:a0, -81
09:32:45:352009, onepos_HLK_2, 40:d6:3c:00:04:e1, -78
09:32:45:454773, onepos_HLK_7, 40:d6:3c:00:06:1e, -80
09:32:45:589950, onepos_HLK_8, 40:d6:3c:00:05:49, -81
09:32:45:771022, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
