base1,104.033109420455,30.325268142233,466.861972987652
bt1,104.033084300271,30.325236181531,470.134972986765
bt2,104.033111546027,30.325236037532,470.176972989924
w1,104.033102170820,30.325238746015,470.331972991116
bt4,104.033084401310,30.325260700923,470.037972989492
bt6,104.033084380912,30.325284586259,470.037972988561
w11,104.033102337182,30.325285268059,470.061972989701
bt8,104.033140627770,30.325287460597,470.053972987458
w12,104.033142507164,30.325289812074,469.964972988702
bt7,104.033111259491,30.325288284143,469.976972988807
bt5,104.033143109956,30.325262719590,470.146972988732
w7,104.033141602420,30.325263432792,470.167972987518
t12,104.033114916638,30.325264639402,468.479972990230
t13,104.033114982865,30.325260886262,468.510972989723
t1,104.033094236447,30.325238711391,466.848972990178
t2,104.033094238010,30.325268097430,466.862972987816
t7,104.033094734284,30.325297535751,466.842972985469
t10,104.033084658784,30.325318383822,466.868972988799
t5,104.033173300875,30.325267620067,466.853972989134
w8,104.033175125934,30.325263548436,470.182972986251
1,104.033092445074,30.325059281311,441.327972991392
b2,104.033128192842,30.325229731893,468.509972987697
b3,104.033104843145,30.325229683263,468.631972988136
b4,104.033091141944,30.325229707613,468.543972989544
2,104.033129999356,30.325121042619,441.479972989298
t5,104.033173300875,30.325267620067,466.853972989134
t5,104.033173300875,30.325267620067,466.853972989134
w2,104.033144799862,30.325235716140,470.151972986758
bt3,104.033135912516,30.325237242973,470.225972989574
w3,104.033173691563,30.325235678167,470.144972988404
t4,104.033172130157,30.325238475603,466.842972988263
w13,104.033174571949,30.325289861975,469.946972987615
t8,104.033174972360,30.325297355871,466.864972989075
w15,104.033258055072,30.325280746724,469.888972989284
w9,104.033220487462,30.325264665273,470.109972987324
w10,104.033255126629,30.325263467361,470.118972988799
t6,104.033267044838,30.325263933378,466.868972988799
t15,104.033119562806,30.325266413417,468.510972987860
t14,104.033119303720,30.325262937174,468.462972988375
t6,104.033267044838,30.325263933378,466.868972988799
w14,104.033222159599,30.325291615090,470.040972987190
w4,104.033223220596,30.325234126798,470.157972988673
w5,104.033266165992,30.325234859212,469.936972987838
t3,104.033265701385,30.325234797408,466.869972989894
t9,104.033268206296,30.325294435051,466.875972988084
t11,104.033275833390,30.325344225604,466.871972989291
t7,104.033094734284,30.325297535751,466.842972985469
w6,104.033109399164,30.325263739046,470.189972989261
t16,104.033086561541,30.325344750836,466.859972989187
